id,name,category,description,initial_cpu,initial_memory,initial_disk,initial_network,initial_services,difficulty,required_skills
S001,Webサーバ過負荷,アプリケーション障害,大規模キャンペーンによるアクセス集中でWebサーバがCPU高負荷状態,85,60,50,75,5,NORMAL,Web/負荷対策
S002,データベース接続枯渇,DB障害,コネクションプールの設定ミスにより新規接続ができない状態,60,75,40,30,4,NORMAL,DB/パフォーマンス
S003,ディスク容量枯渇,ストレージ障害,ログローテーション未設定によるディスク使用率の急増,40,50,95,20,5,NORMAL,Linux/ログ管理
S004,メモリリーク検出,アプリケーション障害,Javaアプリケーションのメモリリークによるサービス不安定化,50,90,30,20,5,HARD,Java/メモリ管理
S005,ネットワークスイッチ障害,ネットワーク障害,コアスイッチの部分的な故障によるパケットロス発生,30,30,30,80,3,HARD,ネットワーク/SNMP
S006,ランサムウェア対応,セキュリティ障害,バックオフィス端末がランサムウェアに感染し社内LANに拡散中,70,60,75,90,4,EXPERT,セキュリティ/CSIRT
S007,AWS RDS高負荷,クラウド障害,マスターDBの高負荷によるレプリケーション遅延発生,80,70,60,40,5,NORMAL,AWS/RDS
S008,Azure VM起動不可,クラウド障害,リージョン障害によるVMが起動できず一部サービス停止,20,20,20,30,3,HARD,Azure/リージョン管理
S009,DNS設定ミス,ネットワーク障害,DNSレコード更新ミスによる名前解決エラー,30,30,30,70,4,NORMAL,DNS/BIND
S010,SSL証明書期限切れ,セキュリティ障害,WebサイトのSSL証明書期限切れによるセキュア接続不可,40,40,40,50,5,NORMAL,SSL/証明書管理
S011,ロードバランサー構成ミス,ネットワーク障害,バックエンドサーバへの振り分けルール設定ミスによる偏り,70,60,40,85,5,HARD,負荷分散/ネットワーク
S012,バックアップジョブ失敗,運用障害,夜間バックアップジョブの連続失敗による復旧リスク,40,50,80,30,5,NORMAL,バックアップ/リカバリ
S013,Docker APIセキュリティ脆弱性,コンテナ障害,DockerホストのAPI公開による不正アクセスリスク,60,50,40,70,5,EXPERT,Docker/セキュリティ
S014,Kubernetes Pod起動エラー,コンテナ障害,ConfigMapの誤りによるPod起動の連続失敗,50,40,30,40,4,HARD,Kubernetes/構成管理
S015,社内Wi-Fi障害,ネットワーク障害,アクセスポイント設定ミスによる接続不安定化,30,30,30,80,5,NORMAL,Wi-Fi/Aruba
S016,ストレージ遅延,ハードウェア障害,SANストレージの一部ディスク劣化による読み書き遅延,50,50,60,30,5,NORMAL,ストレージ/SAN
S017,監視システム誤報,運用障害,Prometheusアラート閾値設定ミスによる大量アラート,60,70,80,40,5,NORMAL,監視/Prometheus
S018,CDN構成不良,ネットワーク障害,CDN設定ミスによるキャッシュヒット率低下とオリジン負荷増大,75,40,50,90,5,HARD,CDN/キャッシュ
S019,CI/CDパイプライン障害,DevOps障害,Jenkinsジョブエラーによるデプロイ失敗とロールバック対応,50,60,70,50,4,HARD,CI/CD/Jenkins
S020,大規模障害対応,複合障害,地震後の電源不安定によるUPS切り替わりとネットワーク機器再起動,90,80,70,90,2,EXPERT,BCP/障害対応 
